observation_date,rGDP,UNRATE,DFF,CORESTICKM159SFRBATL
1968-01-01,2,3.7,4.79,3.822614815
1968-04-01,1.7,3.6,5.98,4.263214293
1968-07-01,0.8,3.5,5.95,4.882643304
1968-10-01,0.4,3.4,5.92,5.429442711
1969-01-01,1.6,3.4,6.57,5.873770294
1969-04-01,0.3,3.4,8.33,6.554073467
1969-07-01,0.7,3.6,8.98,6.546257806
1969-10-01,-0.5,3.6,8.94,6.466553560
1970-01-01,-0.1,4.2,8.56,6.879757355
1970-04-01,0.1,4.8,7.88,6.972515896
1970-07-01,0.9,5.2,6.71,7.068003665
1970-10-01,-1.1,5.8,5.57,7.242646539
1971-01-01,2.7,5.9,3.86,6.282023820
1971-04-01,0.5,5.9,4.57,5.201909911
1971-07-01,0.8,6.0,5.48,4.917016772
1971-10-01,0.2,5.9,4.75,4.002329600
1972-01-01,1.8,5.8,3.55,3.875899896
1972-04-01,2.3,5.7,4.30,3.774618800
1972-07-01,0.9,5.6,4.74,3.319398712
1972-10-01,1.7,5.4,5.15,3.249164664
1973-01-01,2.5,4.9,6.54,2.884439851
1973-04-01,1.1,4.9,7.82,3.101956653
1973-07-01,-0.5,4.8,10.56,3.426880275
1973-10-01,0.9,4.8,10.00,5.000364042
1974-01-01,-0.9,5.1,9.33,6.317825925
1974-04-01,0.2,5.2,11.25,7.816468701
1974-07-01,-0.9,5.6,12.10,10.074438653
1974-10-01,-0.4,6.6,9.34,11.014412715
1975-01-01,-1.2,8.3,6.31,11.660767459
1975-04-01,0.7,8.9,5.42,11.019418273
1975-07-01,1.7,8.5,6.16,9.069480841
1975-10-01,1.3,8.3,5.41,7.962578806
1976-01-01,2.2,7.7,4.83,7.466507443
1976-04-01,0.7,7.6,5.20,6.894788109
1976-07-01,0.5,7.7,5.28,7.177767948
1976-10-01,0.7,7.8,4.87,6.562426872
1977-01-01,1.2,7.5,4.66,6.068036901
1977-04-01,1.9,7.1,5.16,6.747304838
1977-07-01,1.8,6.9,5.82,6.862437455
1977-10-01,0,6.7,6.51,7.104545442
1978-01-01,0.3,6.3,6.76,7.382208792
1978-04-01,3.9,6.0,7.28,7.578820997
1978-07-01,1,6.0,8.09,8.221860432
1978-10-01,1.3,5.9,9.58,9.102000972
1979-01-01,0.2,5.9,10.07,9.439005945
1979-04-01,0.1,5.7,10.18,10.090167773
1979-07-01,0.7,5.9,10.94,10.807942590
1979-10-01,0.3,6.0,13.58,11.972686396
1980-01-01,0.3,6.3,15.07,13.800298616
1980-04-01,-2.1,7.3,12.67,15.214881517
1980-07-01,-0.1,7.7,9.82,13.496507473
1980-10-01,1.9,7.4,15.85,12.880014187
1981-01-01,2,7.4,16.60,11.188904412
1981-04-01,-0.7,7.4,17.79,9.508641635
1981-07-01,1.2,7.4,17.59,11.761978707
1981-10-01,-1.1,8.2,13.59,10.548692975
1982-01-01,-1.6,8.8,14.21,9.300033988
1982-04-01,0.5,9.4,14.51,9.004101840
1982-07-01,-0.4,9.9,11.01,7.066016679
1982-10-01,0,10.7,9.28,5.177362209
1983-01-01,1.3,10.4,8.66,4.455718182
1983-04-01,2.3,10.1,8.80,3.351818265
1983-07-01,2,9.4,9.46,2.450827529
1983-10-01,2.1,8.5,9.43,3.596557226
1984-01-01,2,7.9,9.69,4.539689325
1984-04-01,1.7,7.4,10.55,4.699730280
1984-07-01,1,7.4,11.39,5.007283728
1984-10-01,0.8,7.3,9.26,5.024163238
1985-01-01,1,7.2,8.48,4.841625796
1985-04-01,0.9,7.3,7.92,4.936544191
1985-07-01,1.5,7.2,7.90,4.879387500
1985-10-01,0.7,7.0,8.10,5.009053081
1986-01-01,0.9,7.0,7.83,5.200894832
1986-04-01,0.5,7.2,6.92,5.134736751
1986-07-01,1,7.0,6.21,4.910461112
1986-10-01,0.5,6.8,6.27,4.703908636
1987-01-01,0.7,6.6,6.22,4.406619881
1987-04-01,1.1,6.3,6.65,4.329566838
1987-07-01,0.9,6.0,6.84,4.259249548
1987-10-01,1.7,5.8,6.92,4.326115747
1988-01-01,0.5,5.7,6.67,4.396599765
1988-04-01,1.3,5.5,7.15,4.493915003
1988-07-01,0.6,5.5,7.98,4.698775440
1988-10-01,1.3,5.3,8.47,4.713608373
1989-01-01,1,5.2,9.45,4.760716540
1989-04-01,0.8,5.2,9.73,4.702114735
1989-07-01,0.7,5.2,9.08,4.805949208
1989-10-01,0.2,5.4,8.61,4.809836198
1990-01-01,1.1,5.3,8.25,5.004997430
1990-04-01,0.4,5.3,8.24,5.271471826
1990-07-01,0.1,5.7,8.16,5.761079017
1990-10-01,-0.9,6.1,7.74,5.710902147
1991-01-01,-0.5,6.6,6.43,5.717311263
1991-04-01,0.8,6.8,5.86,5.144420091
1991-07-01,0.5,6.9,5.65,4.516699898
1991-10-01,0.3,7.1,4.82,4.328545741
1992-01-01,1.2,7.4,4.02,3.963306021
1992-04-01,1.1,7.6,3.77,3.951012620
1992-07-01,1,7.6,3.26,3.582241835
1992-10-01,1,7.4,3.03,3.581215634
1993-01-01,0.2,7.1,3.04,3.474912347
1993-04-01,0.6,7.1,3.00,3.502100488
1993-07-01,0.5,6.8,3.06,3.524603721
1993-10-01,1.4,6.6,2.99,3.469830096
1994-01-01,1,6.6,3.21,3.453943741
1994-04-01,1.4,6.2,3.94,3.258222976
1994-07-01,0.6,6.0,4.49,3.264958626
1994-10-01,1.1,5.6,5.17,3.064664348
1995-01-01,0.4,5.5,5.80,3.145260706
1995-04-01,0.3,5.7,6.02,3.331420883
1995-07-01,0.9,5.7,5.80,3.325595862
1995-10-01,0.7,5.6,5.72,3.407968732
1996-01-01,0.7,5.5,5.37,3.223837433
1996-04-01,1.7,5.5,5.24,3.034778321
1996-07-01,0.9,5.3,5.31,3.077995018
1996-10-01,1,5.3,5.28,2.993518066
1997-01-01,0.6,5.2,5.28,2.856496043
1997-04-01,1.7,5.0,5.52,2.869856371
1997-07-01,1.2,4.9,5.53,2.650238099
1997-10-01,0.9,4.7,5.51,2.596339045
1998-01-01,1,4.6,5.52,2.679011616
1998-04-01,0.9,4.4,5.50,2.617344784
1998-07-01,1.3,4.5,5.53,2.610512022
1998-10-01,1.6,4.4,4.86,2.498820347
1999-01-01,0.9,4.3,4.73,2.312285667
1999-04-01,0.8,4.3,4.75,2.150058000
1999-07-01,1.3,4.2,5.10,2.092243000
1999-10-01,1.6,4.1,5.30,2.121763000
2000-01-01,0.4,4.0,5.68,2.399342000
2000-04-01,1.8,3.9,6.27,2.556459333
2000-07-01,0.1,4.0,6.52,2.828290000
2000-10-01,0.6,3.9,6.47,2.920725000
2001-01-01,-0.3,4.2,5.60,2.940032000
2001-04-01,0.6,4.4,4.33,3.121913667
2001-07-01,-0.4,4.8,3.50,3.282756667
2001-10-01,0.3,5.5,2.13,3.550328333
2002-01-01,0.8,5.7,1.73,3.517793000
2002-04-01,0.6,5.8,1.75,3.386548667
2002-07-01,0.4,5.7,1.74,3.145635667
2002-10-01,0.1,5.9,1.44,2.851226667
2003-01-01,0.5,5.9,1.25,2.697638000
2003-04-01,0.9,6.1,1.25,2.350286000
2003-07-01,1.7,6.1,1.02,2.185938333
2003-10-01,1.2,5.8,1.00,2.048134667
2004-01-01,0.6,5.7,1.00,2.037845667
2004-04-01,0.8,5.6,1.01,2.282429333
2004-07-01,0.9,5.4,1.43,2.245529333
2004-10-01,1,5.4,1.95,2.275773000
2005-01-01,1.1,5.3,2.47,2.275545333
2005-04-01,0.5,5.1,2.94,2.257718667
2005-07-01,0.8,5.0,3.46,2.291963000
2005-10-01,0.6,5.0,3.98,2.402057000
2006-01-01,1.3,4.7,4.45,2.504367667
2006-04-01,0.3,4.6,4.91,2.827660333
2006-07-01,0.1,4.6,5.25,3.172047333
2006-10-01,0.9,4.4,5.24,3.181040000
2007-01-01,0.3,4.5,5.25,3.129683333
2007-04-01,0.6,4.5,5.25,2.784459333
2007-07-01,0.6,4.7,5.07,2.486496333
2007-10-01,0.6,4.8,4.50,2.618832667
2008-01-01,-0.4,5.0,3.18,2.684794000
2008-04-01,0.6,5.3,2.08,2.817493000
2008-07-01,-0.5,6.0,1.94,3.054299333
2008-10-01,-2.2,6.9,0.51,2.771273667
2009-01-01,-1.1,8.3,0.18,2.505415333
2009-04-01,-0.2,9.3,0.18,2.237264333
2009-07-01,0.4,9.6,0.15,1.756701667
2009-10-01,1.1,9.9,0.12,1.396515333
2010-01-01,0.5,9.8,0.13,1.048316833
2010-04-01,1,9.6,0.19,0.813575833
2010-07-01,0.8,9.5,0.19,0.699684933
2010-10-01,0.5,9.5,0.19,0.775474467
2011-01-01,-0.2,9.0,0.15,1.083932067
2011-04-01,0.7,9.1,0.09,1.253441333
2011-07-01,0,9.0,0.08,1.597132333
2011-10-01,1.1,8.6,0.07,1.905452000
2012-01-01,0.8,8.3,0.10,2.084076667
2012-04-01,0.4,8.2,0.15,2.206308333
2012-07-01,0.1,8.0,0.14,2.216934000
2012-10-01,0.1,7.8,0.16,2.169771000
2013-01-01,1,7.7,0.14,2.102180333
2013-04-01,0.3,7.5,0.12,1.903783000
2013-07-01,0.9,7.2,0.09,1.888414667
2013-10-01,0.9,6.9,0.09,1.876679667
2014-01-01,-0.3,6.7,0.07,1.810864333
2014-04-01,1.3,6.2,0.09,2.098655333
2014-07-01,1.2,6.1,0.09,2.002502000
2014-10-01,0.5,5.7,0.10,1.987279000
2015-01-01,0.9,5.5,0.11,1.979496000
2015-04-01,0.6,5.4,0.13,2.071334333
2015-07-01,0.4,5.1,0.13,2.189406000
2015-10-01,0.2,5.0,0.16,2.389204667
2016-01-01,0.6,4.9,0.36,2.508448667
2016-04-01,0.3,4.9,0.37,2.553579000
2016-07-01,0.7,4.9,0.39,2.636933667
2016-10-01,0.6,4.8,0.45,2.535372667
2017-01-01,0.5,4.6,0.70,2.584297000
2017-04-01,0.6,4.4,0.95,2.165805000
2017-07-01,0.8,4.3,1.15,2.099392667
2017-10-01,1.1,4.2,1.20,2.131523333
2018-01-01,0.8,4.0,1.45,2.215950000
2018-04-01,0.5,3.9,1.74,2.528900333
2018-07-01,0.6,3.8,1.93,2.471359000
2018-10-01,0.1,3.8,2.22,2.449275667
2019-01-01,0.6,3.9,2.40,2.369314333
2019-04-01,0.8,3.6,2.40,2.382091000
2019-07-01,1.2,3.6,2.19,2.576418333
2019-10-01,0.7,3.6,1.65,2.757408667
2020-01-01,-1.4,3.8,1.25,2.728259667
2020-04-01,-7.9,13.0,0.06,2.052991333
2020-07-01,7.8,8.8,0.09,2.166882000
2020-10-01,1.1,6.8,0.09,1.686965333
2021-01-01,1.4,6.2,0.08,1.462401333
2021-04-01,1.6,5.9,0.07,2.448956000
2021-07-01,0.9,5.1,0.09,2.424551667
2021-10-01,1.8,4.2,0.08,3.219198667
2022-01-01,-0.3,3.8,0.12,4.263259333
2022-04-01,0.1,3.6,0.77,5.022476333
2022-07-01,0.7,3.5,2.18,5.963509000
2022-10-01,0.8,3.6,3.65,6.430480667
2023-01-01,0.7,3.5,4.51,6.468520333
2023-04-01,0.6,3.5,4.99,5.945127333
2023-07-01,1.1,3.7,5.26,5.176014000
2023-10-01,0.8,3.8,5.33,4.710545000
2024-01-01,0.4,3.8,5.33,4.501387667
2024-04-01,0.7,4.0,5.33,4.312833000
